,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
0,329799,1582165310000,1582165310000,,2,其他,10,钻石公主号邮轮,,,621,621,0,0,0,,0,zhangjing1,0
1,329760,1582165310000,1582165310000,,2,亚洲,6,日本,,,71,84,0,12,1,,0,zhangjing1,951002
2,329761,1582165310000,1582165310000,,2,亚洲,7,韩国,,,66,82,0,16,0,,0,zhangjing1,951004
3,329757,1582165310000,1582165310000,,2,亚洲,3,新加坡,,,50,84,0,34,0,,0,zhangjing1,952009
4,329756,1582165310000,1582165310000,,2,亚洲,2,泰国,,,20,35,0,15,0,,0,zhangjing1,952010
5,329768,1582165310000,1582165310000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,zhangjing1,963003
6,329762,1582165310000,1582165310000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,zhangjing1,971002
7,329763,1582165310000,1582165310000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,zhangjing1,952011
8,329758,1582165310000,1582165310000,,2,亚洲,4,马来西亚,,,7,22,0,15,0,,0,zhangjing1,952007
9,329759,1582165310000,1582165310000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,zhangjing1,961002
10,329766,1582165310000,1582165310000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,zhangjing1,971001
11,329765,1582165310000,1582165310000,,2,大洋洲,10,澳大利亚,,,5,15,0,10,0,,0,zhangjing1,990001
12,329771,1582165310000,1582165310000,,2,亚洲,10,阿联酋,,,5,9,0,4,0,,0,zhangjing1,955019
13,329774,1582165310000,1582165310000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,zhangjing1,965008
14,329775,1582165310000,1582165310000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,zhangjing1,961007
15,329778,1582165310000,1582165310000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,zhangjing1,962005
16,329779,1582165310000,1582165310000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhangjing1,952008
17,329791,1582165310000,1582165310000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,zhangjing1,981002
18,329764,1582165310000,1582165310000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,zhangjing1,953005
19,329767,1582165310000,1582165310000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhangjing1,952003
20,329769,1582165310000,1582165310000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,zhangjing1,953007
21,329772,1582165310000,1582165310000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,zhangjing1,962002
22,329773,1582165310000,1582165310000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,zhangjing1,953003
23,329776,1582165310000,1582165310000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhangjing1,964006
24,329777,1582165310000,1582165310000,,2,欧洲,10,西班牙,,,0,2,0,2,0,,0,zhangjing1,965015
25,329790,1582165310000,1582165310000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,zhangjing1,961001
26,329950,1582165310000,1582165310000,,2,亚洲,10,伊朗,,,0,2,0,0,2,,0,zhangjing1,955007
